[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01500ZZ] Destruction of Cervical Plexus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01503ZZ] Destruction of Cervical Plexus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01504ZZ] Destruction of Cervical Plexus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01510ZZ] Destruction of Cervical Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01513ZZ] Destruction of Cervical Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01514ZZ] Destruction of Cervical Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01520ZZ] Destruction of Phrenic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01523ZZ] Destruction of Phrenic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01524ZZ] Destruction of Phrenic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01530ZZ] Destruction of Brachial Plexus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01533ZZ] Destruction of Brachial Plexus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01534ZZ] Destruction of Brachial Plexus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01540ZZ] Destruction of Ulnar Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01543ZZ] Destruction of Ulnar Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01544ZZ] Destruction of Ulnar Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01550ZZ] Destruction of Median Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01553ZZ] Destruction of Median Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
