[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[0210083] Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0210088] Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0210089] Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021008C] Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021008F] Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021008W] Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0210093] Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0210098] Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0210099] Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021009C] Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021009F] Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021009W] Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100A3] Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100A8] Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100A9] Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100AC] Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100AF] Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100AW] Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100J3] Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100J8] Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100J9] Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100JC] Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100JF] Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100JW] Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100K3] Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100K8] Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100K9] Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100KC] Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100KF] Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100KW] Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100Z3] Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100Z8] Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100Z9] Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100ZC] Bypass Coronary Artery, One Artery from Thoracic Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02100ZF] Bypass Coronary Artery, One Artery from Abdominal Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
