[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07100Z3] Bypass Head Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07100Z4] Bypass Head Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07100Z7] Bypass Head Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07100ZK] Bypass Head Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07100ZL] Bypass Head Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07104Z3] Bypass Head Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07104Z4] Bypass Head Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07104Z7] Bypass Head Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07104ZK] Bypass Head Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07104ZL] Bypass Head Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07110Z3] Bypass Right Neck Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07110Z4] Bypass Right Neck Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07110Z7] Bypass Right Neck Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07110ZK] Bypass Right Neck Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07110ZL] Bypass Right Neck Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07114Z3] Bypass Right Neck Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07114Z4] Bypass Right Neck Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07114Z7] Bypass Right Neck Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07114ZK] Bypass Right Neck Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07114ZL] Bypass Right Neck Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07120Z3] Bypass Left Neck Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07120Z4] Bypass Left Neck Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07120Z7] Bypass Left Neck Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07120ZK] Bypass Left Neck Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07120ZL] Bypass Left Neck Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07124Z3] Bypass Left Neck Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07124Z4] Bypass Left Neck Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07124Z7] Bypass Left Neck Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07124ZK] Bypass Left Neck Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07124ZL] Bypass Left Neck Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07130Z3] Bypass Right Upper Extremity Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07130Z4] Bypass Right Upper Extremity Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07130Z7] Bypass Right Upper Extremity Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07130ZK] Bypass Right Upper Extremity Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07130ZL] Bypass Right Upper Extremity Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07134Z3] Bypass Right Upper Extremity Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07134Z4] Bypass Right Upper Extremity Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07134Z7] Bypass Right Upper Extremity Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07134ZK] Bypass Right Upper Extremity Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07134ZL] Bypass Right Upper Extremity Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07140Z3] Bypass Left Upper Extremity Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07140Z4] Bypass Left Upper Extremity Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07140Z7] Bypass Left Upper Extremity Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07140ZK] Bypass Left Upper Extremity Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07140ZL] Bypass Left Upper Extremity Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07144Z3] Bypass Left Upper Extremity Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07144Z4] Bypass Left Upper Extremity Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07144Z7] Bypass Left Upper Extremity Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
