[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0D11074] Bypass Upper Esophagus to Cutaneous with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D11076] Bypass Upper Esophagus to Stomach with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D11079] Bypass Upper Esophagus to Duodenum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1107A] Bypass Upper Esophagus to Jejunum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1107B] Bypass Upper Esophagus to Ileum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110J4] Bypass Upper Esophagus to Cutaneous with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110J6] Bypass Upper Esophagus to Stomach with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110J9] Bypass Upper Esophagus to Duodenum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110JA] Bypass Upper Esophagus to Jejunum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110JB] Bypass Upper Esophagus to Ileum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110K4] Bypass Upper Esophagus to Cutaneous with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110K6] Bypass Upper Esophagus to Stomach with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110K9] Bypass Upper Esophagus to Duodenum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110KA] Bypass Upper Esophagus to Jejunum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110KB] Bypass Upper Esophagus to Ileum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110Z4] Bypass Upper Esophagus to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110Z6] Bypass Upper Esophagus to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110Z9] Bypass Upper Esophagus to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110ZA] Bypass Upper Esophagus to Jejunum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D110ZB] Bypass Upper Esophagus to Ileum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D113J4] Bypass Upper Esophagus to Cutaneous with Synthetic Substitute, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0D11474] Bypass Upper Esophagus to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D11476] Bypass Upper Esophagus to Stomach with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D11479] Bypass Upper Esophagus to Duodenum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1147A] Bypass Upper Esophagus to Jejunum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1147B] Bypass Upper Esophagus to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114J4] Bypass Upper Esophagus to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114J6] Bypass Upper Esophagus to Stomach with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114J9] Bypass Upper Esophagus to Duodenum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114JA] Bypass Upper Esophagus to Jejunum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114JB] Bypass Upper Esophagus to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114K4] Bypass Upper Esophagus to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114K6] Bypass Upper Esophagus to Stomach with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114K9] Bypass Upper Esophagus to Duodenum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114KA] Bypass Upper Esophagus to Jejunum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D114KB] Bypass Upper Esophagus to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
