[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0F140D3] Bypass Gallbladder to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140D4] Bypass Gallbladder to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140D5] Bypass Gallbladder to Right Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140D6] Bypass Gallbladder to Left Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140D7] Bypass Gallbladder to Caudate Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140D8] Bypass Gallbladder to Cystic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140D9] Bypass Gallbladder to Common Bile Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140DB] Bypass Gallbladder to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z3] Bypass Gallbladder to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z4] Bypass Gallbladder to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z5] Bypass Gallbladder to Right Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z6] Bypass Gallbladder to Left Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z7] Bypass Gallbladder to Caudate Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z8] Bypass Gallbladder to Cystic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140Z9] Bypass Gallbladder to Common Bile Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F140ZB] Bypass Gallbladder to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D3] Bypass Gallbladder to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D4] Bypass Gallbladder to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D5] Bypass Gallbladder to Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D6] Bypass Gallbladder to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D7] Bypass Gallbladder to Caudate Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D8] Bypass Gallbladder to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144D9] Bypass Gallbladder to Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144DB] Bypass Gallbladder to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z3] Bypass Gallbladder to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z4] Bypass Gallbladder to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z5] Bypass Gallbladder to Right Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z6] Bypass Gallbladder to Left Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z7] Bypass Gallbladder to Caudate Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z8] Bypass Gallbladder to Cystic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144Z9] Bypass Gallbladder to Common Bile Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F144ZB] Bypass Gallbladder to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D3] Bypass Right Hepatic Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D4] Bypass Right Hepatic Duct to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D5] Bypass Right Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D6] Bypass Right Hepatic Duct to Left Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D7] Bypass Right Hepatic Duct to Caudate Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D8] Bypass Right Hepatic Duct to Cystic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150D9] Bypass Right Hepatic Duct to Common Bile Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150DB] Bypass Right Hepatic Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z3] Bypass Right Hepatic Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z4] Bypass Right Hepatic Duct to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z5] Bypass Right Hepatic Duct to Right Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z6] Bypass Right Hepatic Duct to Left Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z7] Bypass Right Hepatic Duct to Caudate Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z8] Bypass Right Hepatic Duct to Cystic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F150Z9] Bypass Right Hepatic Duct to Common Bile Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
