[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L500ZZ] Destruction of Head and Neck Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L503ZZ] Destruction of Head and Neck Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L504ZZ] Destruction of Head and Neck Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L510ZZ] Destruction of Right Shoulder Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L513ZZ] Destruction of Right Shoulder Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L514ZZ] Destruction of Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L520ZZ] Destruction of Left Shoulder Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L523ZZ] Destruction of Left Shoulder Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L524ZZ] Destruction of Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L530ZZ] Destruction of Right Upper Arm Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L533ZZ] Destruction of Right Upper Arm Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L534ZZ] Destruction of Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L540ZZ] Destruction of Left Upper Arm Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L543ZZ] Destruction of Left Upper Arm Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L544ZZ] Destruction of Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L550ZZ] Destruction of Right Lower Arm and Wrist Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L553ZZ] Destruction of Right Lower Arm and Wrist Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L554ZZ] Destruction of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L560ZZ] Destruction of Left Lower Arm and Wrist Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L563ZZ] Destruction of Left Lower Arm and Wrist Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L564ZZ] Destruction of Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L570ZZ] Destruction of Right Hand Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L573ZZ] Destruction of Right Hand Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L574ZZ] Destruction of Right Hand Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L580ZZ] Destruction of Left Hand Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L583ZZ] Destruction of Left Hand Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L584ZZ] Destruction of Left Hand Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L590ZZ] Destruction of Right Trunk Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L593ZZ] Destruction of Right Trunk Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L594ZZ] Destruction of Right Trunk Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5B0ZZ] Destruction of Left Trunk Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5B3ZZ] Destruction of Left Trunk Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
