[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M500ZZ] Destruction of Head and Neck Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M503ZZ] Destruction of Head and Neck Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M504ZZ] Destruction of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M510ZZ] Destruction of Right Shoulder Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M513ZZ] Destruction of Right Shoulder Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M514ZZ] Destruction of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M520ZZ] Destruction of Left Shoulder Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M523ZZ] Destruction of Left Shoulder Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M524ZZ] Destruction of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M530ZZ] Destruction of Right Elbow Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M533ZZ] Destruction of Right Elbow Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M534ZZ] Destruction of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M540ZZ] Destruction of Left Elbow Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M543ZZ] Destruction of Left Elbow Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M544ZZ] Destruction of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M550ZZ] Destruction of Right Wrist Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M553ZZ] Destruction of Right Wrist Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M554ZZ] Destruction of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M560ZZ] Destruction of Left Wrist Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M563ZZ] Destruction of Left Wrist Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M564ZZ] Destruction of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M570ZZ] Destruction of Right Hand Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M573ZZ] Destruction of Right Hand Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M574ZZ] Destruction of Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M580ZZ] Destruction of Left Hand Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M583ZZ] Destruction of Left Hand Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M584ZZ] Destruction of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M590ZZ] Destruction of Right Upper Extremity Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M593ZZ] Destruction of Right Upper Extremity Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M594ZZ] Destruction of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5B0ZZ] Destruction of Left Upper Extremity Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5B3ZZ] Destruction of Left Upper Extremity Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5B4ZZ] Destruction of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5C0ZZ] Destruction of Upper Spine Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5C3ZZ] Destruction of Upper Spine Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5C4ZZ] Destruction of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5D0ZZ] Destruction of Lower Spine Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5D3ZZ] Destruction of Lower Spine Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5D4ZZ] Destruction of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5F0ZZ] Destruction of Sternum Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5F3ZZ] Destruction of Sternum Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5F4ZZ] Destruction of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5G0ZZ] Destruction of Rib(s) Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5G3ZZ] Destruction of Rib(s) Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5G4ZZ] Destruction of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5H0ZZ] Destruction of Right Abdomen Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5H3ZZ] Destruction of Right Abdomen Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5H4ZZ] Destruction of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5J0ZZ] Destruction of Left Abdomen Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5J3ZZ] Destruction of Left Abdomen Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5J4ZZ] Destruction of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5K0ZZ] Destruction of Perineum Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5K3ZZ] Destruction of Perineum Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5K4ZZ] Destruction of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5L0ZZ] Destruction of Right Hip Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5L3ZZ] Destruction of Right Hip Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5L4ZZ] Destruction of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5M0ZZ] Destruction of Left Hip Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5M3ZZ] Destruction of Left Hip Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5M4ZZ] Destruction of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5N0ZZ] Destruction of Right Knee Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5N3ZZ] Destruction of Right Knee Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5N4ZZ] Destruction of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5P0ZZ] Destruction of Left Knee Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5P3ZZ] Destruction of Left Knee Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5P4ZZ] Destruction of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5Q0ZZ] Destruction of Right Ankle Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5Q3ZZ] Destruction of Right Ankle Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5Q4ZZ] Destruction of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5R0ZZ] Destruction of Left Ankle Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5R3ZZ] Destruction of Left Ankle Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5R4ZZ] Destruction of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5S0ZZ] Destruction of Right Foot Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5S3ZZ] Destruction of Right Foot Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5S4ZZ] Destruction of Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5T0ZZ] Destruction of Left Foot Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5T3ZZ] Destruction of Left Foot Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5T4ZZ] Destruction of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5V0ZZ] Destruction of Right Lower Extremity Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5V3ZZ] Destruction of Right Lower Extremity Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5V4ZZ] Destruction of Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5W0ZZ] Destruction of Left Lower Extremity Bursa and Ligament, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
