[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q500Z3] Destruction of Lumbar Vertebra using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q500ZZ] Destruction of Lumbar Vertebra, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q503Z3] Destruction of Lumbar Vertebra using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q503ZZ] Destruction of Lumbar Vertebra, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q504Z3] Destruction of Lumbar Vertebra using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q504ZZ] Destruction of Lumbar Vertebra, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q510Z3] Destruction of Sacrum using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q510ZZ] Destruction of Sacrum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q513Z3] Destruction of Sacrum using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q513ZZ] Destruction of Sacrum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q514Z3] Destruction of Sacrum using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q514ZZ] Destruction of Sacrum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q520ZZ] Destruction of Right Pelvic Bone, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q523ZZ] Destruction of Right Pelvic Bone, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q524ZZ] Destruction of Right Pelvic Bone, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q530ZZ] Destruction of Left Pelvic Bone, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q533ZZ] Destruction of Left Pelvic Bone, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q534ZZ] Destruction of Left Pelvic Bone, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q540ZZ] Destruction of Right Acetabulum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q543ZZ] Destruction of Right Acetabulum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q544ZZ] Destruction of Right Acetabulum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q550ZZ] Destruction of Left Acetabulum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q553ZZ] Destruction of Left Acetabulum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q554ZZ] Destruction of Left Acetabulum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q560ZZ] Destruction of Right Upper Femur, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q563ZZ] Destruction of Right Upper Femur, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q564ZZ] Destruction of Right Upper Femur, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q570ZZ] Destruction of Left Upper Femur, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q573ZZ] Destruction of Left Upper Femur, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q574ZZ] Destruction of Left Upper Femur, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q580ZZ] Destruction of Right Femoral Shaft, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q583ZZ] Destruction of Right Femoral Shaft, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q584ZZ] Destruction of Right Femoral Shaft, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q590ZZ] Destruction of Left Femoral Shaft, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q593ZZ] Destruction of Left Femoral Shaft, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q594ZZ] Destruction of Left Femoral Shaft, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5B0ZZ] Destruction of Right Lower Femur, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5B3ZZ] Destruction of Right Lower Femur, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5B4ZZ] Destruction of Right Lower Femur, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5C0ZZ] Destruction of Left Lower Femur, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5C3ZZ] Destruction of Left Lower Femur, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5C4ZZ] Destruction of Left Lower Femur, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5D0ZZ] Destruction of Right Patella, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5D3ZZ] Destruction of Right Patella, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5D4ZZ] Destruction of Right Patella, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5F0ZZ] Destruction of Left Patella, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5F3ZZ] Destruction of Left Patella, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5F4ZZ] Destruction of Left Patella, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5G0ZZ] Destruction of Right Tibia, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5G3ZZ] Destruction of Right Tibia, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5G4ZZ] Destruction of Right Tibia, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5H0ZZ] Destruction of Left Tibia, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5H3ZZ] Destruction of Left Tibia, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5H4ZZ] Destruction of Left Tibia, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5J0ZZ] Destruction of Right Fibula, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5J3ZZ] Destruction of Right Fibula, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5J4ZZ] Destruction of Right Fibula, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5K0ZZ] Destruction of Left Fibula, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5K3ZZ] Destruction of Left Fibula, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5K4ZZ] Destruction of Left Fibula, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5L0ZZ] Destruction of Right Tarsal, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5L3ZZ] Destruction of Right Tarsal, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5L4ZZ] Destruction of Right Tarsal, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
