[9] Chiropractic -- ICD-10-PCS section (Chiropractic). Top-level grouping of procedure codes; sub-nodes break down by body system, operation, and detailed code.
[9W] Chiropractic, Anatomical Regions -- Body system (Chiropractic, Anatomical Regions) within ICD-10-PCS section 'Chiropractic'. Aggregator of root-operation tables for this body system.
[9WB] Chiropractic, Anatomical Regions, Manipulation -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XBZ] Chiropractic Manipulation of Head, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XCZ] Chiropractic Manipulation of Head, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XDZ] Chiropractic Manipulation of Head, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XFZ] Chiropractic Manipulation of Head, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XGZ] Chiropractic Manipulation of Head, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XHZ] Chiropractic Manipulation of Head, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XJZ] Chiropractic Manipulation of Head, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XKZ] Chiropractic Manipulation of Head, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB0XLZ] Chiropractic Manipulation of Head, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XBZ] Chiropractic Manipulation of Cervical Region, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XCZ] Chiropractic Manipulation of Cervical Region, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XDZ] Chiropractic Manipulation of Cervical Region, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XFZ] Chiropractic Manipulation of Cervical Region, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XGZ] Chiropractic Manipulation of Cervical Region, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XHZ] Chiropractic Manipulation of Cervical Region, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XJZ] Chiropractic Manipulation of Cervical Region, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
