[67015-2035] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Honey (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67015-2036] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Beige (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67038-203] Bliss Block Star Sheer Liquid Daily Sunscreen SPF 50 (Zinc Oxide) -- **Product type:** Human Otc Drug  **Active ingredient:** ZINC OXIDE  **Strength:** 20 g/100mL  **Dosage form:** Lotion  **Route:** Topical  **Labeler:** Bliss Products Holdings LLC  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67046-0053] Haloperidol (Haloperidol) -- **Product type:** Human Prescription Drug  **Active ingredient:** HALOPERIDOL  **Strength:** 5 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA071173)  **Pharmacologic class:** Typical Antipsychotic [EPC]
[67046-0889] Colchicine (Colchicine) -- **Product type:** Human Prescription Drug  **Active ingredient:** COLCHICINE  **Strength:** .6 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** NDA (NDA204820)  **Pharmacologic class:** Alkaloid [EPC], Alkaloids [CS]
[67046-1078] levofloxacin (levofloxacin) -- **Product type:** Human Prescription Drug  **Active ingredient:** LEVOFLOXACIN  **Strength:** 250 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA077652)
[67046-1081] Cefuroxime Axetil (Cefuroxime Axetil) -- **Product type:** Human Prescription Drug  **Active ingredient:** CEFUROXIME AXETIL  **Strength:** 500 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA065308)  **Pharmacologic class:** Cephalosporin Antibacterial [EPC], Cephalosporins [CS]
[67046-1147] Methocarbamol (Methocarbamol) -- **Product type:** Human Prescription Drug  **Active ingredient:** METHOCARBAMOL  **Strength:** 750 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090200)  **Pharmacologic class:** Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]
[67046-1307] Cefuroxime Axetil (Cefuroxime Axetil) -- **Product type:** Human Prescription Drug  **Active ingredient:** CEFUROXIME AXETIL  **Strength:** 250 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA065308)  **Pharmacologic class:** Cephalosporin Antibacterial [EPC], Cephalosporins [CS]
[67046-1403] Atorvastatin Calcium (Atorvastatin Calcium) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA214659)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67046-1411] Nortriptyline Hydrochloride (Nortriptyline Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** NORTRIPTYLINE HYDROCHLORIDE  **Strength:** 25 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA073556)  **Pharmacologic class:** Tricyclic Antidepressant [EPC]
[67046-1429] GABAPENTIN (gabapentin) -- **Product type:** Human Prescription Drug  **Active ingredient:** GABAPENTIN  **Strength:** 300 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA211314)  **Pharmacologic class:** Decreased Central Nervous System Disorganized Electrical Activity [PE]
[67046-1433] Guanfacine (Guanfacine) -- **Product type:** Human Prescription Drug  **Active ingredient:** GUANFACINE HYDROCHLORIDE  **Strength:** 1 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA217293)  **Pharmacologic class:** Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]
